timestamp,open,high,low,close,volume
12/2/2023,2088.43,2190.48,2086.97,2165.76,83470.66011
12/1/2023,2053.08,2112.09,2045.99,2088.4,142736.1284
11/30/2023,2029.14,2055.74,2020.96,2053.1,75775.80127
11/29/2023,2048.94,2075.84,2019.63,2029.11,75542.21726
11/28/2023,2027.46,2076,1995.29,2049.08,100207.9153
11/27/2023,2063.13,2072,1985.72,2027.47,125768.1595
11/26/2023,2084,2095.16,2037.8,2063.09,57167.26389
11/25/2023,2082.74,2091.72,2067.11,2084.02,32637.81834
11/24/2023,2062.51,2134.16,2059.7,2082.61,127130.6017
11/23/2023,2063.95,2089.18,2040.23,2062.78,84629.71524
11/22/2023,1933.52,2092.66,1929.26,2063.94,146760.1198
11/21/2023,2022.56,2035.77,1930.86,1933.45,136174.2001
11/20/2023,2012.68,2067.79,1993.59,2022.55,146484.6842
11/19/2023,1963.75,2016.6,1944.65,2012.29,55072.30287
11/18/2023,1961.53,1972.38,1917.96,1963.76,45737.12942
11/17/2023,1961.66,1991.25,1906.15,1961.57,125667.8374
11/16/2023,2059.46,2100,1909.37,1961.76,178044.6334
11/15/2023,1979.45,2063.58,1967.19,2059.38,152595.8827
11/14/2023,2054.31,2065.48,1933,1979.61,136319.6702
11/13/2023,2046.06,2118.65,2029.28,2053.99,144429.2032
11/12/2023,2053.94,2066.93,2013.5,2046.06,50912.2359
11/11/2023,2078.57,2091.61,2032.14,2053.83,84815.43691
11/10/2023,2120.88,2136.53,2066,2078.57,148151.5915
11/9/2023,1888.86,2131.91,1882.84,2121.3,290571.5284
11/8/2023,1885.93,1905.3,1873.55,1888.84,74827.09164
11/7/2023,1901.67,1908.07,1851.01,1885.93,122337.3394
11/6/2023,1893.13,1916.13,1870.64,1901.68,97625.9482
11/5/2023,1857.17,1913.57,1847.46,1893.16,82496.39954
11/4/2023,1833.64,1870.32,1825.11,1857.23,38916.34595
11/3/2023,1801.31,1836.16,1777,1833.76,79637.24134
11/2/2023,1847.74,1875,1785.03,1801.31,110389.5555
11/1/2023,1815.14,1859,1783.48,1847.74,139857.4967
